keys,description,ru,en
toConnect,profile,Подключить,Connect
whatIsYourName,profile,Как вас зовут?,What's your name?
logInOrRegister,profile,Войти или зарегистрироваться,Login or register
loginToExistingAccountOrCreateNew,profile,Войдите в существующий аккаунт\nили создайте новый,Log in to your existing account\nor create a new one
logInYourProfile,profile,Войдите в профиль,Login to your profile
logInYourProfileDescription,profile,"Чтобы выбирать камеры хранения, оставлять заявки на возврат и обращаться в поддержку","To select storage lockers, submit return requests and contact support"
logOutOfYourProfile,profile,Выйти из профиля,Log out of profile
nameCannotBeEmpty,profile,Имя не может быть пустым,The name cannot be empty
nameMustLessThen,profile,Имя должно быть меньше 20 символов,The name must be less than 20 characters
nameContainOnlyLetters,profile,Имя может содержать только буквы,The name can only contain letters
lastNameCannotBeEmpty,profile,Фамилия не может быть пустым,Last name cannot be empty
lastNameMustLessThen,profile,Фамилия должно быть меньше 20 символов,Last name must be less than 20 characters
lastNameContainOnlyLetters,profile,Фамилия может содержать только буквы,Last name can only contain letters
userAgreement,profile,Пользовательское соглашение,User Agreement
userAgreementAndPersonalDataProcessingRules,profile,Пользовательское соглашение и правила обработки персональных данных,User agreement and rules for processing personal data
userAgreementAndPersonalDataProcessingRulesDescription,profile,1. Камера хранения по обслуживанию авиапассажиров работает круглосуточно без перерывов.\n2. На хранение принимаются вещи в любой упаковке обеспечивающей сохранность исключающей свободный доступ к содержимому повреждения и загрязнения вещей других клиентов и оборудования камеры хранения.3. Вес одного места багажа не должен превышать 30 кг.\n4. Фрукты овощи и другие продукты принимаются на хранение только упаковке; за их естественную порчу администрация ответственности не несёт.\n5. Стекло и другие бьющиеся предметы принимаются только в упаковке с надписью «Осторожно — Стекло»\n6. Не принимаются на хранение взрывчатые огнеопасные легко воспламеняющиеся и неприятно пахнущие вещества. Оружие и патроны к нему живая птица и другая живность документы деньги драгоценности.\n7. Получение вещей: при получении вещей из камеры хранения клиент должен предъявить кладовщику номерок и назвать фамилию.\n8. Выдача вещей из камеры хранения производится вне очереди\n9. Вещи не полученные владельцем в течение 6 месяцев со дня принятия на хранение считаются невостребованными и реализуются в установленном порядке\n10. При утрате клиентом номерка вещи выдаются на основании его заявления при предъявлении его документов и доказательств принадлежности ему вещей\n11. Компенсация за утерю номерка — 500 рублей.\n12. Оплата производится при сдаче багажа.,"1. The storage room for servicing air passengers operates around the clock without interruptions.\n2. Items are accepted for storage in any packaging that ensures safety and excludes free access to the contents of damage and contamination of other clients' belongings and storage room equipment.3. The weight of one piece of luggage must not exceed 30 kg.\n4. Fruits, vegetables and other products are accepted for storage only in packaging; The administration is not responsible for their natural damage.\n5. Glass and other breakable items are accepted only in packaging marked “Caution – Glass”\n6. Explosive, flammable, flammable and unpleasantly smelling substances are not accepted for storage. Weapons and ammunition, live birds and other living creatures, documents, money, jewelry.\n7. Receiving things: when receiving things from the storage room, the client must show the storekeeper a number and name.\n8. Items from the storage room are issued out of turn\n9. Items not received by the owner within 6 months from the date of acceptance for storage are considered unclaimed and are sold in the prescribed manner\n10. If the client loses his number, things are issued on the basis of his application upon presentation of his documents and evidence of belonging to him\n11. Compensation for lost license plate is 500 rubles.\n12. Payment is made upon baggage check-in."
airport,support,Аэропорт,Airport
topic,support,Тема,Subject
orderByNumber,support,Заказ № {number},Order No. {number}
comment,support,Комментарий,Comment
messageSentSuccessfully,support,Сообщение успешно отправлено!,Message sent successfully!
selectAirport,support,Выберите аэропорт,Select airport
selectService,support,Выберите сервис,Select service
send,support,Отправить,Send
sendMessage,support,Отправить сообщение,Send message
questionsAndAnswers,support,Вопросы и ответы,Questions and answers
howAppWorks,support,Как работает BAG24,How BAG24 works
howAppWorks1Description,support,Загрузите фотографию и выберите необходимый тариф,Upload a photo and select the required rate
howAppWorks1Title,support,Оформите заказ в приложении 📱,Place your order in the app 📱
howAppWorks2Description,support,Вы можете оплатить заказ онлайн или в камере хранения,You can pay for your order online or at the locker
howAppWorks2Title,support,Оплатите заказ удобным способом 💸,Pay for your order in a convenient way 💸
howAppWorks3Description,support,Передайте оформленный и оплаченный заказ нашему сотруднику и не переживайте о сохранности,Hand over your completed and paid order to our employee and don’t worry about its safety
howAppWorks3Title,support,Передайте багаж сотруднику 👍,Hand over your luggage to the employee 👍
writeToSupport,support,Написать в поддержку,Write to support
weAnswerTheMostFrequentQuestions,support,Отвечаем на самые частые вопросы. Если не найдёте свой ответ — напишите в поддержку,"We answer the most frequently asked questions. If you don’t find your answer, write to support"
faqHowPayOrder,support,Как оплатить заказ?,How to pay for an order?
faqHowPayOrderDescription,support,"Для оформления и оплаты заказа необходимо перейти в раздел ""Оставить багаж"" и следовать инструкциям на экране.\nПосле оформления заказа Вы сможете его оплатить в мобильном приложении (Система быстрых платежей, платежные системы - МИР, SberPay, Visa, MasterCard) или на стойке в ""Камере хранения"". После оформления заказа в мобильном приложении появится QR-код, который необходимо предъявить сотруднику камеры хранения для сдачи багажа. Для сдачи багажа на хранение необходимо оплатить первые сутки согласно выбранному тарифу.","To place and pay for your order, you must go to the “Leave luggage” section and follow the instructions on the screen.\nAfter placing your order, you can pay for it in the mobile application (Fast Payment System, payment systems - MIR, SberPay, Visa, MasterCard) or at the counter in ""Luggage storage."" After placing your order, a QR code will appear in the mobile application, which must be presented to the luggage storage employee to check in your luggage. To check in luggage for storage, you must pay for the first day according to the selected tariff."
faqWhichRateChoose,support,Какой тариф выбрать?,Which tariff should I choose?
faqWhichRateChooseDescription,support,"Тариф Стандарт\n\nПлата за хранение багажа взимается за каждый предмет (1 место до 203 см). Первые календарные сутки (с 00:00 до 23:59) – 700 ₽, каждые последующие календарные сутки – 300 ₽ В стоимость входит услуга хранения багажа и его пломбирование.\n\nТариф Стандарт+\n\nПлата за хранение багажа взимается за каждый предмет (1 место свыше 203 см). Первые календарные сутки (с 00:00 до 23:59) – 1250 ₽, каждые последующие календарные сутки –  600 ₽ В стоимость входит услуга хранения багажа и его пломбирование.\n\nТариф Стандарт Лайт\n\nПлата за хранение багажа взимается за каждый предмет (1 место до 203 см). Первые календарные сутки (с 00:00 до 23:59) – 600 ₽, каждые последующие календарные сутки – 300 ₽ В стоимость входит услуга хранения багажа.\n\nТариф Стандарт Лайт+\n\nПлата за хранение багажа взимается за каждый предмет (1 место свыше 203 см). Первые календарные сутки (с 00:00 до 23:59) – 1150 ₽, каждые последующие календарные сутки – 600 ₽ В стоимость входит услуга хранения багажа.","Standard tariff\n\nLuggage storage fee is charged for each item (1 piece up to 203 cm). The first calendar day (from 00:00 to 23:59) – 700 ₽, each subsequent calendar day – 300 ₽ The price includes luggage storage and sealing.\n\nStandard+ tariff\n\nLuggage storage fee is charged for each subject (1 place over 203 cm). The first calendar day (from 00:00 to 23:59) – 1250 ₽, each subsequent calendar day – 600 ₽ The price includes luggage storage and sealing.\n\nStandard Light tariff\n\nLuggage storage fee is charged for each item (1 place up to 203 cm). The first calendar day (from 00:00 to 23:59) – 600 ₽, each subsequent calendar day – 300 ₽ The price includes luggage storage service.\n\nStandard Light+ tariff\n\nLuggage storage fee is charged for each item ( 1 place over 203 cm). The first calendar day (from 00:00 to 23:59) – 1150 ₽, every subsequent calendar day – 600 ₽ The price includes luggage storage service."
faqHowManyItemsInOrder,support,Сколько предметов может быть в заказе?,How many items can there be in an order?
faqHowManyItemsInOrderDescription,support,"В камере хранения допускается хранение до 10 единиц багажа включительно.\nТребования, предъявляемые к багажу: в любой упаковке, обеспечивающей сохранность, исключающей свободный доступ к содержимому, повреждения и загрязнения вещей других клиентов и оборудования камеры хранения. Вес одного места багажа не должен превышать 30 кг. Фрукты, овощи и другие продукты принимаются на хранение только в упаковке. За их естественную порчу администрация ответственности не несёт. Стекло и другие бьющиеся предметы принимаются только в упаковке с надписью «Осторожно — Стекло». Не принимаются на хранение взрывчатые, огнеопасные, легковоспламеняющиеся и неприятно пахнущие вещества. Оружие и патроны к нему, живая птица и другая живность, документы, деньги, драгоценности.","In the storage room, up to 10 pieces of luggage can be stored inclusive.\nRequirements for luggage: in any packaging that ensures safety, preventing free access to the contents, damage and contamination of things of other clients and storage room equipment. The weight of one piece of luggage must not exceed 30 kg. Fruits, vegetables and other products are accepted for storage only in packaging. The administration is not responsible for their natural deterioration. Glass and other breakable items will only be accepted in packaging marked “Caution – Glass.” Explosive, flammable, flammable and unpleasant-smelling substances are not accepted for storage. Weapons and ammunition, live birds and other animals, documents, money, jewelry."
faqNoQRCode,support,Что делать если нет QR-кода?,What to do if there is no QR code?
faqNoQRCodeDescription,support,"Если в мобильном приложении после оформления заказа и его оплаты не появился QR-код для сдачи багажа, необходимо обратиться в службу поддержки.","If a QR code for checking in your luggage does not appear in the mobile application after placing an order and paying for it, you must contact support."
faqHowCancelOrder,support,Как отменить заказ?,How to cancel an order?
faqHowCancelOrderDescription,support,"Для отмены заказа необходимо перейти в раздел ""Заказы"" на главном экране мобильного приложения и выбрать заказ, который хотите отменить. Откройте дополнительное меню и выберите ""Отменить заказ"". В данном случае заказ будет отменен и удален из приложения. Если Вы оплатили заказ, денежные средства будут возвращены на счет оплаты. Если вы хотите внести изменения в заказ и в последующем использовать его, воспользуйтесь кнопкой «Оформить возврат».","To cancel an order, you must go to the ""Orders"" section on the main screen of the mobile application and select the order you want to cancel. Open the additional menu and select ""Cancel order"". In this case, the order will be canceled and deleted from the application. If you have paid for the order, the funds will be returned to your payment account. If you want to make changes to your order and use it later, use the “Make a return” button."
topicCannotBeEmpty,support,Тема не может быть пустой,The topic cannot be empty
commentCannotBeEmpty,support,Тема не может быть пустой,The topic cannot be empty
lengthCannotExceed,support,Длина не может превышать {length},Length cannot exceed {length}
appTheme,settings,Тема приложения,Application theme
biometrics,settings,Биометрия,Biometrics
biometricsLogin,settings,Вход по биометрии,Login using biometrics
changeAppLoginCode,settings,Изменить код для входа в приложение,Change the application login code
safety,settings,Безопасность,Safety
downloadTheUpdate,system,Скачать обновление,Download update
failedToUploadData,system,Не удалось загрузить данные,Failed to load data
checkYourInternetConnectionAndTryAgain,system,Проверьте ваше интернет-соединение и попробуйте еще раз,Check your internet connection and try again
technicalProblems,system,Технические неполадки,Technical problems
timeToUpdate,system,Пора обновиться,It's time to upgrade
versionNoLongerSupportedDownloadLatest,system,Эта версия приложения BAG24 более не поддерживается. Скачайте последнюю версию ({version}),This version of the BAG24 application is no longer supported. Download the latest version ({version})
weWillFixItSoon,system,"Это временно, скоро всё наладим","This is temporary, we'll fix it soon"
systemTheme,settings,Системная,System
lightTheme,settings,Светлая,Light
darkTheme,settings,Темная,Dark
lang,settings,Язык,Language
russian,settings,Русский,Russian
english,settings,Английский,English
changePinCode,pin,Изменить ПИН-код,Change PIN
enterCode,pin,Введите код,Enter code
enterNewPinCode,pin,Задайте новый ПИН-код,Set a new PIN
enterOldCode,pin,Введите старый код,Enter old code
enterPinCode,pin,Введите ПИН-код,Enter your PIN
forgotYourPin,pin,Забыли ПИН-код?,Forgot your PIN?
repeatPinCode,pin,Повторите ПИН-код,Repeat PIN code
setPinCode,pin,Задайте ПИН-код,Set a PIN code
audioAccessDenied,photo,Вам отказано в доступе к аудио.,You are denied access to audio.
audioAccessDeniedWithoutPrompt,photo,"Пожалуйста, перейдите в настройки приложения, чтобы включить доступ к аудио.",Please go to the app settings to enable audio access.
audioAccessRestricted,photo,Доступ к аудио ограничен.,Access to audio is limited.
cameraAccessDenied,photo,Вам отказано в доступе к камере.,You are denied access to the camera.
cameraAccessDeniedWithoutPrompt,photo,"Пожалуйста, перейдите в настройки приложения, чтобы включить доступ к камере.",Please go to the app settings to enable camera access.
cameraAccessRestricted,photo,Доступ к камере ограничен.,Access to the camera is limited.
camerasNotFound,photo,Камеры не найдены.,No cameras found.
bonusProgram,moa,Бонусная программа,Bonus program
correctCode,moa,Правильный код,Correct code
iAmParticipant,moa,Я являюсь участником,I am a member
invalidCodeTryAgain,moa,"Неверный код, попробуйте еще раз","Invalid code, try again"
learnMoreAboutProgram,moa,Подробнее о программе,More about the program
moaBonusProgramDescription,moa,"MILEONAIR — это бонусная программа, дающая участникам возможность копить и тратить мили на протяжении всей поездки",MILEONAIR is a bonus program that gives members the opportunity to earn and spend miles throughout their trip
linkCardToYourAccount,payment,Привязать карту к аккаунту,Link the card to your account
doYouWantToSaveCardToPay,payment,Вы хотите сохранить карту\nдля оплаты следующего заказа?,Do you want to save the card\nto pay for your next order?
paymentMethods,payment,Способы оплаты,Payment methods
noSavedCards,payment,У вас нет сохраненных карт,You have no saved cards
addCardPrompt,payment,"Добавьте карту, чтобы использовать её для оплаты заказов",Add a card to use it to pay for orders
deleteCardConfirmation,payment,Удалить карту?,Delete card?
autoPaymentDisableWarning,payment,Функция автоплатежа по данной карте будет отключена у активных заказов,The auto payment function for this card will be disabled for active orders
keepCard,payment,"Нет, оставить","No, leave it"
cardDeletedSuccess,payment,Карта успешно удалена,Card deleted successfully
enableAutoPayment,payment,Включить автосписание,Enable auto debit
enableCardBinding,payment,Включите привязку карты для автосписания,Enable card binding for auto debit
waitingForPayment,payment,Ждем оплату,We are waiting for payment
waitingMessage,payment,Это может занять несколько секунд,This may take a few seconds
returnToOrders,payment,Вернуться к заказам,Return to orders
paymentSuccessful,payment,Оплата прошла успешно!,The payment was successful!
paymentFailed,payment,Не удалось оплатить,Failed to pay
paymentErrorMessage,payment,"Что-то пошло не так.\nПожалуйста, попробуйте еще раз или оплатите в камере хранения",Something went wrong.\nPlease try again or pay at the storage room
backToHome,payment,На главную,Home
viewOrder,payment,Посмотреть заказ,View order
retryPayment,payment,Повторить еще раз,Repeat again
appOpeningFailed,payment,Не удалось открыть приложение,Failed to open application
allPaymentMethods,payment,Все способы оплаты,All payment methods
supportedCardTypes,payment,"МИР, Visa, Master Card","MIR, Visa, Master Card"
sberPay,payment,SberPay,SberPay
contactlessPayment,payment,Бесконтактная оплата,Contactless payment
newCard,payment,Новая карта,New map
writeOff,payment,Списать,Write off
fastPaymentSystem,payment,Система быстрых платежей,Fast payment system
viaBankApp,payment,Через приложение банка,Via the bank app
amountDue,payment,К оплате,For payment
bankCard,payment,Банковская карта,Bank card
cash,payment,Наличные,Cash
moaMiles,payment,Мили MILEONAIR,MILEONAIR miles
mirPay,payment,МИР Pay,MIR Pay
mir,payment,Мир,World
visa,payment,Visa,Visa
mastercard,payment,MasterCard,MasterCard
jcb,payment,JCP,JCP
card,payment,Карта,Map
paymentNotCompleted,payment,Оплата не завершена,Payment not completed
active,orders,Активные,Active
orders,orders,Заказы,Orders
failedToLoad,orders,Не удалось загрузить,Failed to load
youHaveNoOrdersYet,orders,У вас пока нет заказов,You have no orders yet
thereWillBeOrdersAndRequests,orders,Здесь будут отображаться будущие заказы и заявки,Future orders and requests will be displayed here
thereWillBecompletedAndCancelledOrdersAndRequests,orders,Здесь будут отображаться завершенные и отмененные заказы и заявки,Completed and canceled orders and requests will be displayed here
tryAgain,orders,Попробуйте еще раз,try again
luggagePhoto,photoRules,Фотография багажа,Luggage photo
toPlaceYourOrderCorrectly,photoRules,Для правильного оформления заказа нужно сфотографировать каждый багаж по отдельности,"To place your order correctly, you need to photograph each piece of luggage separately."
addPhoto,photoRules,Добавить фотографию,Add a photo
takePhoto,photoRules,Сделать фотографию,Take a photo
chooseFromGallery,photoRules,Выбрать из галереи,Select from gallery
howToPhotographLuggage,photoRules,Как фотографировать багаж,How to photograph luggage
lighting,photoRules,Освещение,Lighting
lightingDescription,photoRules,Используйте естественное освещение или внешние источники света. Избегайте засветов и бликов,Use natural light or external light sources. Avoid glare and glare
portraitPhotography,photoRules,Портретная съемка,Portrait photography
portraitPhotographyDescription,photoRules,"Для портретной съёмки лучше всего расположить находку вертикально, чтобы он был хорошо виден","For portrait photography, it is best to position the find vertically so that it is clearly visible"
step1of2,location,Шаг 1 из 2,Step 1 of 2
tryToFindAnotherAirport,location,Попробуйте найти другой аэропорт,Try to find another airport
airportOrIata,location,Аэропорт или IATA,Airport or IATA
airportSearch,location,Поиск по аэропорту,Search by airport
chooseStorageCamera,location,Выберите камеру хранения,Select a storage room
noSuitableOptions,location,Нет подходящих вариантов,No suitable options
step2of2,luggage_order,Шаг 2 из 2,Step 2 of 2
passLuggage,luggage_order,Сдать багаж,Check in luggage
placeAndTime,luggage_order,Место и время,Place and time
bookingOn,luggage_order,Бронирование на {date},Booking on {date}
luggage,luggage_order,Багаж,Baggage
removeLuggage,luggage_order,Удалить багаж,Remove luggage
areYouSureToRemoveLuggage,luggage_order,"Вы уверены, что хотите удалить багаж?",Are you sure you want to remove your luggage?
addLuggage,luggage_order,Добавить багаж,Add luggage
placeAnOrder,luggage_order,Оформить заказ,Place an order
howToAddLuggageCorrectlyTitle,luggage_order,Как правильно добавить багаж?,How to add luggage correctly?
howToAddLuggageCorrectlyText,luggage_order,Для правильного оформления заказа нужно сфотографировать каждый багаж по отдельности,"To place your order correctly, you need to photograph each piece of luggage individually."
orderHasBeenPlaced,luggage_order,Заказ оформлен,The order has been placed
payOnline,luggage_order,Оплатить онлайн,Pay online
orderDetails,luggage_order,Данные о заказе,Order details
orderNumber,luggage_order,Номер заказа,Order number
address,luggage_order,Адрес,Address
